Merek,Model,Varian,Tahun,harga,Jarak tempuh,Tipe bahan bakar,Transmisi,Kapasitas mesin
Toyota,Avanza,1.3 E Bensin-MT,2016,111000000.0,107500.0,Bensin,Manual,1.3
Honda,HR-V,1.5 E Bensin-AT,2016,207000000.0,62500.0,Bensin,Automatic,1.5
Toyota,Vios,1.5 G Bensin-MT,2008,82000000.0,92500.0,Bensin,Manual,1.5
Daihatsu,Xenia,1.3 Bensin-MT,2010,72000000.0,122500.0,Bensin,Manual,1.3
Honda,HR-V,1.5 E Bensin-AT,2015,210000000.0,102500.0,Bensin,Automatic,1.5
Honda,Brio,RS 1.2-AT,2020,169000000.0,47500.0,Bensin,Automatic,1.2
Honda,Brio,1.3 E Bensin-AT,2012,105000000.0,157500.0,Bensin,Automatic,1.3
Daihatsu,Xenia,1.5 R Deluxe Bensin-MT,2021,195000000.0,32500.0,Bensin,Manual,1.5
Toyota,Agya,1.2 G TRD Sportivo Bensin-AT,2019,139000000.0,27500.0,Bensin,Automatic,1.2
Daihatsu,Xenia,1.5 R Deluxe Bensin-MT,2021,195000000.0,32500.0,Bensin,Manual,1.5
Toyota,Avanza,1.3 G Bensin-AT,2010,96000000.0,107500.0,Bensin,Automatic,1.3
Nissan,March,1.2 Bensin-MT,2015,96000000.0,122500.0,Bensin,Manual,1.2
Honda,CR-V,2.4 Prestige Bensin-AT,2015,247000000.0,77500.0,Bensin,Automatic,2.4
Toyota,Kijang Innova,2.5 G Solar-MT,2008,180000000.0,137500.0,Diesel,Manual,2.5
Hyundai,Atoz,1.1 GLS Bensin-MT,2006,58000000.0,17500.0,Bensin,Manual,1.1
Mitsubishi,Colt T120SS,1.5 Flat Deck Pickup Bensin-MT,2005,42000000.0,12500.0,Bensin,Manual,1.5
Daihatsu,Ayla,1.0 X Bensin-MT,2015,86000000.0,17500.0,Bensin,Manual,1.0
Honda,Brio,1.2 New E Bensin-AT,2023,169500000.0,2500.0,Bensin,Automatic,1.2
Honda,Mobilio,1.5 E Bensin-AT,2014,130000000.0,202500.0,Bensin,Automatic,1.5
Toyota,Yaris,1.5 J Bensin-MT,2009,90000000.0,137500.0,Bensin,Manual,1.5
Toyota,Kijang Innova,2.4 G Solar-AT,2021,330000000.0,47500.0,Diesel,Automatic,2.4
